iter	RMSE
307	12664.0275
308	12635.31016
309	12610.87401
310	12587.76271
311	12550.3524
312	12519.08794
313	12485.13833
314	12455.81785
315	12436.31971
316	12414.91359
317	12397.03257
318	12372.29608
319	12349.81673
320	12344.21955
321	12316.13939
322	12302.88134
323	12283.60292
324	12257.16014
325	12232.86376
326	12208.5696
327	12193.05377
328	12167.07714
329	12147.03887
330	12133.76954
331	12131.19237
332	12115.46975
333	12086.38639
334	12058.50849
335	12029.33914
336	11998.30241
337	11970.50081
338	11944.35322
339	11941.89273
340	11916.69095
341	11895.36537
342	11864.81926
343	11842.08588
344	11801.69162
345	11799.27653
346	11773.94417
347	11742.49684
348	11708.49566
349	11678.06912
350	11658.52168
351	11646.11399
352	11619.05037
353	11597.82802
354	11570.80233
355	11546.84001
356	11523.66538
357	11509.18396
358	11479.0792
359	11444.04076
360	11421.56841
361	11409.48745
362	11393.5258
363	11377.8092
364	11364.96737
365	11353.38718
366	11326.5964
367	11325.06237
368	11296.83987
369	11278.57208
370	11261.28349
371	11242.50917
372	11223.67123
373	11208.79534
374	11195.96131
375	11193.99118
376	11173.04606
377	11171.45862
378	11169.45126
379	11167.41529
380	11149.05177
381	11128.03759
382	11116.69644
383	11082.37648
384	11049.20586
385	11047.2931
386	11020.96865
387	10996.37217
388	10975.30939
389	10957.53638
390	10930.67412
391	10911.81522
392	10885.78472
393	10865.94419
394	10847.31252
395	10824.91754
396	10805.1347
397	10802.98795
398	10782.95774
399	10758.97278
400	10743.93593
401	10717.53091
402	10690.68235
403	10677.63396
404	10656.92001
405	10630.60906
406	10617.69181
407	10589.94284
408	10579.19952
409	10561.11248
410	10536.86894
411	10511.40054
412	10486.22765
413	10467.39501
414	10449.20244
415	10419.80666
416	10399.72009
417	10381.8318
418	10360.71155
419	10341.17586
420	10322.72345
421	10305.68983
422	10289.27998
423	10266.96789
424	10245.72502
425	10232.66271
426	10209.71914
427	10191.82739
428	10167.42287
429	10149.37521
430	10130.53889
431	10114.21566
432	10089.88787
433	10088.49482
434	10064.88876
435	10047.24757
436	10034.152
437	10015.33478
438	9992.400557
439	9990.642382
440	9969.446988
441	9963.280905
442	9949.322454
443	9936.235094
444	9910.132105
445	9908.511253
446	9888.100739
447	9871.951157
448	9855.72063
449	9838.438289
450	9818.656186
451	9802.095906
452	9787.725483
453	9785.401559
454	9771.685521
455	9744.750907
456	9725.986381
457	9717.458198
458	9714.936292
459	9698.782072
460	9686.098034
461	9662.35059
462	9643.185256
463	9627.840568
464	9614.419071
465	9593.498507
466	9586.941289
467	9585.014008
468	9583.137357
469	9565.318287
470	9544.319808
471	9524.021966
472	9503.930276
473	9493.97054
474	9468.223383
475	9453.713116
476	9436.207071
477	9415.211175
478	9402.676604
479	9399.233526
480	9387.685698
481	9377.330939
482	9358.544634
483	9338.143066
484	9319.980561
485	9298.828062
486	9280.069622
487	9268.057192
488	9245.011863
489	9219.543515
490	9207.802058
491	9205.925422
492	9184.577184
493	9171.467313
494	9169.112733
495	9160.421774
496	9148.404956
497	9141.929065
498	9130.665782
499	9120.538625
500	9101.85358
501	9089.007971
502	9076.028057
503	9052.954025
504	9040.153675
505	9023.145587
506	9010.971046
507	8995.498624
508	8981.683046
509	8963.972916
510	8942.518182
511	8931.0709
512	8919.101092
513	8908.78294
514	8897.20263
515	8877.840776
516	8871.641361
517	8855.434339
518	8830.311
519	8816.903398
520	8796.272162
521	8782.916242
522	8769.678973
523	8754.579427
524	8735.761211
525	8716.074198
526	8701.748067
527	8687.147463
528	8685.559283
529	8664.895306
530	8642.5895
531	8627.965056
532	8615.217241
533	8600.285003
534	8588.063917
535	8571.411458
536	8555.458853
537	8538.660773
538	8521.822753
539	8511.580916
540	8496.581699
541	8479.911922
542	8473.354738
543	8457.349008
544	8448.912727
545	8437.844991
546	8430.242141
547	8422.389214
548	8400.792167
549	8394.697689
550	8381.617504
551	8369.463532
552	8350.708948
553	8335.055272
554	8320.1364
555	8305.953588
556	8293.096189
557	8280.502283
558	8260.772578
559	8244.550655
560	8234.9971
561	8221.566553
562	8208.149376
563	8200.422318
564	8199.148572
565	8179.710154
566	8158.293859
567	8146.245538
568	8132.182909
569	8131.004876
570	8116.38748
571	8115.392014
572	8109.460141
573	8101.418349
574	8090.144459
575	8075.563946
576	8067.42822
577	8058.193939
578	8044.389655
579	8029.843715
580	8023.691409
581	8013.836988
582	8011.888899
583	8010.831694
584	8000.514611
585	7990.44669
586	7973.310258
587	7965.918432
588	7952.666922
589	7940.400018
590	7925.348643
591	7906.677054
592	7893.703744
593	7880.358505
594	7868.553415
595	7863.637867
596	7849.944668
597	7837.84804
598	7824.236643
599	7814.583424
600	7806.224613
601	7795.624095
602	7780.100763
603	7771.839
604	7762.277569
605	7751.147996
606	7744.176922
607	7736.243174
608	7726.592952
609	7710.156725
610	7699.152173
611	7689.123252
612	7672.433546
613	7656.199753
614	7637.475299
615	7623.948131
616	7606.632401
617	7589.892286
618	7574.913918
619	7568.160519
620	7567.077711
621	7549.057523
622	7534.882749
623	7522.679131
624	7508.932818
625	7498.716948
626	7477.535727
627	7470.455922
628	7450.988427
629	7440.473509
630	7431.375015
631	7426.297577
632	7418.78414
633	7408.895724
634	7389.681936
635	7373.157405
636	7358.977875
637	7332.944221
638	7322.878663
639	7308.00587
640	7296.577088
641	7288.988636
642	7272.874927
643	7258.000978
644	7247.140058
645	7233.276717
646	7216.349237
647	7202.625869
648	7193.162091
649	7184.04382
650	7178.036581
651	7177.287916
652	7173.339303
653	7167.103886
654	7160.596536
655	7143.673957
656	7130.935268
657	7129.933939
658	7114.579356
659	7104.052502
660	7097.574286
661	7082.4848
662	7078.520779
663	7062.793302
664	7058.52703
665	7042.613626
666	7027.302225
667	7020.217951
668	7009.48814
669	6994.823757
670	6983.614347
671	6982.886605
672	6972.876443
673	6960.279926
674	6947.125397
675	6935.183711
676	6930.079592
677	6921.166603
678	6906.762895
679	6899.417099
680	6884.275086
681	6873.546109
682	6862.70717
683	6852.920145
684	6839.827489
685	6827.817746
686	6809.911464
687	6799.343472
688	6784.153811
689	6767.462672
690	6756.298076
691	6742.460599
692	6731.945479
693	6721.265944
694	6710.592399
695	6695.162905
696	6687.566073
697	6672.081545
698	6662.323626
699	6648.329865
700	6643.912948
701	6633.203257
702	6625.080833
703	6612.407641
704	6601.733408
705	6588.983678
706	6588.374374
707	6579.536134
708	6569.221873
709	6565.060589
710	6564.202444
711	6555.163339
712	6543.459296
713	6528.45415
714	6516.489254
715	6503.778533
716	6492.985861
717	6482.988106
718	6471.67095
719	6455.0816
720	6452.324714
721	6436.51628
722	6424.002303
723	6415.439798
724	6403.954696
725	6397.259883
726	6388.37675
727	6379.664586
728	6372.071238
729	6357.017313
730	6343.886231
731	6334.602641
732	6325.291527
733	6315.540014
734	6310.365829
735	6298.971061
736	6294.155992
737	6288.743725
738	6279.527542
739	6272.911723
740	6269.014982
741	6260.023217
742	6248.525172
743	6237.993249
744	6227.607982
745	6219.434673
746	6209.600761
747	6200.694688
748	6195.094104
749	6183.269883
750	6175.189785
751	6170.538284
752	6166.639775
753	6153.310431
754	6146.70228
755	6136.705113
756	6130.368749
757	6128.758197
758	6118.835496
759	6106.64884
760	6097.839586
761	6084.065335
762	6073.822261
763	6064.430751
764	6052.793024
765	6051.804393
766	6042.561975
767	6034.623377
768	6016.38123
769	6014.361943
770	6007.876477
771	6002.560655
772	5992.887587
773	5987.348949
774	5973.541849
775	5966.128151
776	5965.4018
777	5963.502423
778	5951.055969
779	5943.858867
780	5936.571123
781	5926.706179
782	5909.565393
783	5904.467635
784	5901.580751
785	5887.125146
786	5878.743931
787	5870.743005
788	5869.1371
789	5861.9506
790	5854.244966
791	5842.196739
792	5834.188081
793	5828.341661
794	5820.131911
795	5810.839753
796	5802.315155
797	5795.829627
798	5787.772841
799	5786.487254
800	5780.873362
801	5779.976569
802	5771.295513
803	5760.574019
804	5756.630144
805	5745.52306
806	5744.632673
807	5734.700822
808	5726.248688
809	5724.868996
810	5720.896194
811	5712.086174
812	5705.550548
813	5698.682876
814	5687.224857
815	5676.438658
816	5669.906289
817	5661.252488
818	5651.607582
819	5646.2036
820	5635.671255
821	5628.900377
822	5621.498291
823	5614.12995
824	5606.391348
825	5599.241008
826	5592.344218
827	5582.745415
828	5574.2184
829	5566.517969
830	5554.418638
831	5549.500177
832	5546.038085
833	5539.74246
834	5534.775457
835	5525.799155
836	5518.509833
837	5512.417684
838	5509.198668
839	5506.978492
840	5498.432818
841	5491.875721
842	5486.544025
843	5471.975709
844	5465.289142
845	5461.821102
846	5457.405403
847	5447.108887
848	5437.567178
849	5423.837118
850	5410.497094
851	5397.577606
852	5389.202087
853	5381.806416
854	5381.280714
855	5371.554808
856	5361.590156
857	5356.767977
858	5351.397065
859	5339.3073
860	5336.596064
861	5330.470175
862	5323.856895
863	5317.395613
864	5310.492518
865	5299.046109
866	5294.052072
867	5284.671021
868	5280.569097
869	5270.923044
870	5260.138251
871	5255.768934
872	5250.617489
873	5248.892388
874	5240.932135
875	5233.311355
876	5227.553998
877	5218.126135
878	5215.339945
879	5208.098547
880	5201.964095
881	5196.078699
882	5186.588322
883	5181.662391
884	5173.790641
885	5160.807715
886	5154.204094
887	5152.129084
888	5151.602036
889	5143.963151
890	5135.099967
891	5123.678366
892	5116.804853
893	5111.780618
894	5107.487796
895	5103.999755
896	5096.436467
897	5086.471512
898	5075.388297
899	5068.556614
900	5064.782143
901	5057.587088
902	5051.600487
903	5047.373759
904	5041.596007
905	5033.609977
906	5026.397511
907	5019.03313
908	5011.518604
909	5010.384316
910	5004.043184
911	4998.554642
912	4991.50083
913	4980.310927
914	4971.134606
915	4962.061647
916	4955.706204
917	4946.545177
918	4937.100579
919	4930.844279
920	4921.035622
921	4915.610405
922	4907.314801
923	4904.6161
924	4894.507449
925	4891.302373
926	4888.044548
927	4879.424652
928	4868.215315
929	4862.497663
930	4855.260684
931	4854.566375
932	4851.473994
933	4845.224912
934	4841.622371
935	4841.065732
936	4832.694049
937	4825.995206
938	4818.518553
939	4810.250992
940	4802.749243
941	4796.735029
942	4789.2071
943	4779.433005
944	4771.382297
945	4762.287544
946	4755.643749
947	4755.244841
948	4745.141728
949	4740.857277
950	4735.378892
951	4732.132972
952	4724.449919
953	4720.633154
954	4716.704315
955	4708.822642
956	4700.08015
957	4696.482684
958	4691.465655
959	4688.224815
960	4681.18212
961	4677.08856
962	4673.009481
963	4666.672853
964	4663.837639
965	4656.598556
966	4653.678228
967	4645.611258
968	4643.281967
969	4638.217218
970	4637.608934
971	4633.027843
972	4629.894469
973	4620.704243
974	4615.39538
975	4607.414832
976	4605.334429
977	4594.187889
978	4593.743406
979	4586.740832
980	4576.945517
981	4572.32032
982	4569.13137
983	4563.008496
984	4559.458424
985	4555.102611
986	4554.584466
987	4549.715743
988	4543.082614
989	4531.665055
990	4527.702627
991	4519.566573
992	4513.580355
993	4508.953343
994	4502.65541
995	4495.610275
996	4488.635592
997	4483.251781
998	4479.14417
999	4473.577987
